Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2014;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Outras espécies;250
31/12/2015;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Outras espécies;2425
31/12/2016;Brasil;Norte;Rondônia;RO;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);-12,47;-62,27;Outras espécies;3316
31/12/2014;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Outras espécies;3010
31/12/2015;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Outras espécies;2890
31/12/2016;Brasil;Norte;Rondônia;RO;Cacoal;Cacoal (RO);-11,3;-61,32;Outras espécies;3952
31/12/2014;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cerejeiras;Cerejeiras (RO);-13,2;-61,26;Outras espécies;51
